coupon_bucket,implied_mbs_coupon,month,n_atrisk,n_prepay,smm,cpr
4.0,3.5,12024,393474,12093,0.030733923969563426,0.31243121133417107
4.0,3.5,12025,369870,12242,0.03309811555411361,0.33228846360675934
4.0,3.5,22020,225469,0,0.0,0.0
4.0,3.5,22021,509497,7782,0.015273887775590436,0.16864703047534513
4.0,3.5,22022,464244,10845,0.023360560394964716,0.24697204179613474
4.0,3.5,22023,415990,11629,0.027954998918243226,0.28839915676748007
4.0,3.5,22024,392054,12121,0.030916659439771052,0.31398512528661504
4.0,3.5,22025,368263,12337,0.033500514577896774,0.33561544826902356
4.0,3.5,32020,334310,0,0.0,0.0
4.0,3.5,32021,493292,8327,0.016880468363565597,0.1847779989719811
4.0,3.5,32022,457142,10821,0.02367098188309103,0.24983919428439305
4.0,3.5,32023,414856,11687,0.028171220857357734,0.29029629873152796
4.0,3.5,32024,390417,12145,0.031107764262314395,0.3156067647776858
4.0,3.5,32025,366833,12348,0.033661093740203304,0.33693884943697483
4.0,3.5,42020,410429,0,0.0,0.0
4.0,3.5,42021,479563,8963,0.018689932292524653,0.20260216182636082
4.0,3.5,42022,449647,10957,0.024368004234432788,0.2562406912883416
4.0,3.5,42023,412502,11755,0.028496831530513793,0.29314447617961503
4.0,3.5,42024,388551,12170,0.03132149962295812,0.3174162748329683
4.0,3.5,42025,365025,12359,0.03385795493459352,0.33855796904049285
4.0,3.5,52020,452918,0,0.0,0.0
4.0,3.5,52021,481258,9368,0.019465650441135525,0.2101334052256878
4.0,3.5,52022,443826,11017,0.024822790913556214,0.2603904440199978
4.0,3.5,52023,410388,11775,0.0286923594257142,0.29484975626860443
4.0,3.5,52024,386406,12174,0.03150572196083912,0.31897240380663017
4.0,3.5,52025,362967,12348,0.03401962161849424,0.33988491405876786
4.0,3.5,62020,496591,0,0.0,0.0
4.0,3.5,62021,484547,9710,0.020039335709435824,0.21566116086451415
4.0,3.5,62022,438810,11077,0.025243271575397096,0.2642082738690237
4.0,3.5,62023,407880,11821,0.028981563204864176,0.2973651095177343
4.0,3.5,62024,384155,12171,0.0316825239812055,0.32046279445343573
4.0,3.5,62025,360917,12322,0.03414081353884688,0.340878045227306
4.0,3.5,72020,532578,1751,0.0032877813202948675,0.03874770955570961
4.0,3.5,72021,482445,10047,0.020825171781239313,0.22317555089181906
4.0,3.5,72022,434122,11131,0.02564025780771304,0.2677961940682697
4.0,3.5,72023,405352,11835,0.029196846197872467,0.29923219282299973
4.0,3.5,72024,381972,12164,0.03184526614516247,0.3218320212620146
4.0,3.5,72025,358799,12320,0.034336773513861524,0.3424809806366794
4.0,3.5,82020,556763,2857,0.005131447312411205,0.05986885813497034
4.0,3.5,82021,482323,10171,0.02108752848195089,0.22566954919503657
4.0,3.5,82022,430427,11208,0.026039258689626813,0.2713861560093941
4.0,3.5,82023,403076,11860,0.029423731504728635,0.30119497640336557
4.0,3.5,82024,379750,12168,0.03204213298222515,0.3234849748762103
4.0,3.5,82025,356636,12307,0.034508574569028366,0.34388335764935385
4.0,3.5,92020,559483,4102,0.007331768793689889,0.08451869875969453
4.0,3.5,92021,477648,10442,0.02186128697283355,0.23298232052940926
4.0,3.5,92022,426649,11272,0.026419843946663416,0.27479538371367773
4.0,3.5,92023,400677,11893,0.02968226277026133,0.3034253854267769
4.0,3.5,92024,377566,12181,0.032261909176144035,0.3253259190512793
4.0,3.5,92025,354654,12317,0.034729623802353844,0.3456837041142191
4.0,3.5,102020,555342,5450,0.009813772414115986,0.11161221674100141
4.0,3.5,102021,473244,10792,0.022804303910878954,0.24180913728171916
4.0,3.5,102022,423490,11339,0.026775130463529244,0.27796478573646544
4.0,3.5,102023,398695,11940,0.029947704385557883,0.30570862035979085
4.0,3.5,102024,375705,12181,0.032421713844638746,0.3266616300413441
4.0,3.5,112020,547820,6204,0.01132488773684787,0.12774549222247544
4.0,3.5,112021,473192,10874,0.02298010110061032,0.2434442982362608
4.0,3.5,112022,420815,11385,0.02705464396468757,0.280449310399685
4.0,3.5,112023,396721,11966,0.030162255086068044,0.3075490938864822
4.0,3.5,112024,373635,12198,0.032646834477498096,0.32853916540765415
4.0,3.5,122020,537679,6811,0.012667409365067262,0.141853030116455
4.0,3.5,122021,483345,10860,0.022468423175992305,0.23867596323813312
4.0,3.5,122022,418663,11455,0.02736090841559918,0.28316261797150777
